,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
182554,125450.0,1.90307684635204,-0.756739065966729,-0.0817159983127894,0.265245199987992,-0.944522248866391,0.244887140416041,-1.16084525084786,0.415389336966856,1.42500967229169,0.216026776501912,0.469758324666297,-0.230778352938778,-2.25463838073622,0.364414307754787,0.386680071128166,0.905522126540133,-0.710243577336665,0.737661507696049,-0.0949533239609014,-0.278390349199286,0.0495676035150954,0.0873341870524233,0.375455139838714,0.657024551298844,-0.691697913653721,0.305491878990353,-0.0286504083341318,-0.0428664584012953,20.8,0
35308,38059.0,0.200030833084572,-2.17124274514481,1.15198666008564,0.803591205147621,-1.62402879623794,1.62533269854841,-0.848241023302693,0.608010791517886,1.63657139192448,-0.671176433851648,0.749252672571545,1.36616642043625,-0.746525800746637,-0.704328156595863,-1.58822484727351,-0.772545890661092,0.848290988144246,-0.835723112839454,0.056673269097528,0.678914145077847,0.216992672396739,0.159318517639267,-0.346410194262604,-0.164646564071789,-0.0904164896372466,1.10749294434257,-0.0503335408716068,0.0733052840321987,434.43,0
154882,103497.0,2.12848081532938,-0.47718798496977,-1.0060670614055,-1.40653290120948,-0.0973859196174142,-0.356603521845419,-0.447052986167815,-0.198014043287386,3.38578614343296,-1.41737097380563,-0.266722325462946,-1.36932317374608,2.53128098031933,1.18674129314601,-0.23100839056091,-0.563978511392242,0.377536830075955,-0.152527404777917,1.1481017401718,-0.159419439624038,-0.59021819467437,-1.16249070420207,0.366102918935776,0.0202321418227795,-0.280760082612693,-0.681672542028332,-0.0039627079261126,-0.0466766564746131,2.47,0
260467,159572.0,1.10449210777669,-2.29656919206914,-3.50963744815612,-0.175396637218588,0.216251262296104,-0.744990057947325,1.42133691879981,-0.780725356395846,-1.33009631861372,0.716801193656,-1.53086690512545,0.0040836665741936,1.18614802549429,0.592270676150966,-0.31122644993172,-2.00636184645072,-0.135280757338397,0.892913778801273,-0.58039579209502,0.750672966314255,0.232376237566485,-0.101795264738615,-0.7126204282975,0.162080358470513,0.422286213780612,0.959701778817177,-0.240589568700449,0.0189632735343979,637.97,0
185419,126655.0,2.07727636348857,-0.332974076839412,-0.778772396167959,-0.136740369326164,-0.112216054284221,-0.0034461408949551,-0.554927836838432,-0.0394639591644248,1.1898908566013,-0.176553243034537,-1.24713704506804,0.639702541280324,1.3310424197593,-0.295508872295199,1.00226283915063,0.483115086521248,-0.96639917410606,0.343940086278695,-0.0048151944653142,-0.0919195987319014,0.158769063105082,0.658751102871656,0.0986432759316577,0.143536978801051,-0.0661427730447143,0.0955852911397528,0.0101067316303117,-0.0400090469080459,2.87,0
152953,97645.0,2.01294577700073,-0.37202118343284,-1.53069263035372,0.107214140534628,0.47416551758923,0.123967315505965,-0.128151989016818,-0.161043500705009,2.23468258958373,-0.42456510454116,0.395449424164088,-1.63798677827327,1.86018518181861,1.57446607793673,-1.79189979926379,-0.0906576348854367,-0.0690321740170984,0.759466604115528,0.858252878538752,-0.127878043100245,-0.0785478747679231,0.227737175420898,-0.178718958649224,-1.37717293378844,0.318203181445937,0.215562564610242,-0.0662556681158296,-0.0842374493739145,52.0,0
52963,45742.0,-1.18958170106033,-1.02267222758389,-0.116863753092863,-2.35493635863786,0.46171597690364,4.26754736285808,-0.297981544746216,1.45596115728603,-0.783780171964626,-0.684009193827108,-1.00524428819903,-0.587884911163348,0.00626456054491,-0.557782701246854,-1.21340313436253,1.40423495671648,0.0638595341899984,-0.844287001845488,0.634880253020303,0.688854963992805,0.286242504412169,0.105188738858976,0.594143765994893,0.985600971009432,-0.011325066052602,-0.44923322266967,-0.0571997535568814,0.0795028805015102,298.71,0
92310,63871.0,1.17979351884156,0.533370963796391,0.755755486198026,2.49124449655009,-0.317963643843457,-0.566447343913366,0.055819177739071,-0.0418612891495003,-0.576083457363856,0.701192308998168,-0.662732656639602,-0.609156823840092,-1.01386968079835,0.498413819001883,0.675808710330592,0.8241968423198,-0.587258511771549,-0.342256151090349,-0.916077114604331,-0.216109276978051,-0.25982352849654,-0.883447619491872,0.155907147887152,0.297608705234316,0.211209959688356,-0.262377591413142,-0.0140295903164211,0.026767502944824,5.39,0
161373,114136.0,1.9389448378341,-0.284761880840068,-1.41661688603258,-0.0065314015783898,0.778989602231393,0.909525908759205,-0.192314957947196,0.293540714307945,0.367433448986951,0.120243274261434,0.966370325640956,0.984939398706689,-0.295931655260522,0.583206691423122,0.186651687974552,-0.580627578161322,0.0764419435095663,-1.47053575006071,-0.390712499877385,-0.311696519726715,-0.2030860137299,-0.391577603869885,0.33890372799928,-1.64065943635915,-0.469396618828203,0.311303481842283,-0.0275274163840376,-0.0882235975506257,0.38,0
37897,39158.0,1.09688739521174,-0.209487015326161,0.706079615876431,0.74781053262601,-0.669059916629623,-0.0061267942714066,-0.395187915150215,0.275352223356589,0.523692562369506,-0.0378375567046981,1.14612683129075,0.379404501910211,-1.9582002967631,0.480479884053871,-0.403501711254678,-0.255423148581335,0.201827848020346,-0.522156935622349,0.0836852184460724,-0.234622335025951,-0.219121364150383,-0.582031786655736,0.130034149954556,0.205012201156004,0.141868195351879,0.184655823324297,-0.0164760433914932,0.0039868730819904,19.16,0
